,created_at,favorite_count,id_str,in_reply_to_user_id_str,is_retweet,retweet_count,source,text
3962,Thu Jan 21 14:32:57 +0000 2016,8471,690180284189310976,,False,2878,Twitter for Android,Low energy candidate @JebBush has wasted $80 million on his failed presidential campaign. Millions spent on me. He should go home and relax!
3963,Thu Jan 21 14:19:26 +0000 2016,6520,690176882055114758,,False,2254,Twitter for Android,"Sad sack @JebBush has just done another ad on me, with special interest money, saying I won't beat Hillary - I WILL. But he can't beat me."
3964,Thu Jan 21 14:04:54 +0000 2016,5887,690173226341691392,,False,2003,Twitter for Android,So sad that @CNN and many others refused to show the massive crowd at the arena yesterday in Oklahoma. Dishonest reporting!
3965,Thu Jan 21 13:57:39 +0000 2016,3276,690171403388104704,,False,1336,Twitter for Android,"""@AmericanAsPie:  @glennbeck @SarahPalinUSA Remember when Glenn gave out gifts to ILLEGAL ALIENS at crossing the border? Me too!"""
3966,Thu Jan 21 13:56:11 +0000 2016,2458,690171032150237184,,False,1055,Twitter for Android,"""@bigop1: @realDonaldTrump  @SarahPalinUSA https://t.co/3kYQGqeVyD"""
3967,Thu Jan 21 13:52:42 +0000 2016,3673,690170154672529408,,False,1607,Twitter for iPhone,"#MakeAmericaGreatAgain #Trump2016
UNIFYING THE NATION
Video: https://t.co/1ZWE5R183k https://t.co/Md10pL1wn8"
3968,Thu Jan 21 13:51:37 +0000 2016,3007,690169884597092352,,False,1043,Twitter for Android,"""@NeilTurner_: https://t.co/uvn95NB6M0 You're the only candidate we can trust, other candidates are controlled by their donors! #VoteTrump"""
3969,Thu Jan 21 13:42:48 +0000 2016,4623,690167662698110976,,False,1851,Twitter for Android,"Wacko @glennbeck is a sad answer to the @SarahPalinUSA endorsement that Cruz so desperately wanted. Glenn is a failing, crying, lost soul!"
3970,Thu Jan 21 13:27:37 +0000 2016,2811,690163844618956800,,False,1070,Twitter for Android,"""@AnnCoulter: Trump destroyed Hillary &amp; Sanders moved in. But he didn't destroy her, Trump did. https://t.co/WAuaujsP1o"" So true!"
3971,Wed Jan 20 23:42:28 +0000 2016,5670,689956187434020865,,False,2309,Twitter for iPhone,New CNN/WMUR New Hampshire poll just released. Thank you! #FITN #Trump2016 https://t.co/sZr9taU20G
3972,Wed Jan 20 23:40:20 +0000 2016,4335,689955649137016832,,False,1607,Twitter for iPhone,"Bob Dole Warns of ‘Cataclysmic’ Losses With Ted Cruz, and Says Donald Trump Would Do Better via New York Times: https://t.co/txEaLrZ4uY"
3973,Wed Jan 20 22:44:55 +0000 2016,5388,689941704342921217,,False,2214,Twitter for iPhone,"Thank you, New Hampshire! #FITN
#Trump2016 #NHPolitics https://t.co/3FkMZpaEdR"
3974,Wed Jan 20 22:43:06 +0000 2016,6754,689941247549640705,,False,2809,Twitter for iPhone,"Thank you, Florida! #Trump2016 https://t.co/npcw1AN2ht"
3975,Wed Jan 20 20:52:01 +0000 2016,11699,689913293759115264,,False,4161,Twitter for iPhone,"15K in OK! Had to turn away 5k, but we are coming back soon to take care of them! So much love in the crowd! Thanks! https://t.co/XsOeREiYuA"
3976,Wed Jan 20 18:02:58 +0000 2016,0,689870751374016512,,True,1426,Twitter for iPhone,"RT @SarahPalinUSA: Trading in the beautiful snow of Iowa for the red dirt of Oklahoma as planned, despite what the media is try's no... htt…"
3977,Wed Jan 20 15:53:12 +0000 2016,6051,689838094158168064,,False,1871,Twitter for iPhone,Great rally in Iowa! Such wonderful people. Traveling now with @SarahPalinUSA to Tulsa- massive crowd expected! https://t.co/gaK4KEbHOh
3978,Wed Jan 20 13:40:29 +0000 2016,4142,689804695221600256,,False,1686,Twitter for iPhone,"#MakeAmericaGreatAgain #Trump2016
LIFE CHANGING EXPERIENCE
Video: https://t.co/8kAswDS0bc https://t.co/0bSTLvq7V9"
3979,Wed Jan 20 11:16:00 +0000 2016,3588,689768331776098304,,False,1138,Twitter for Android,"""@nytimes: Breaking News: Sarah Palin has endorsed Donald Trump in the GOP primary - appeal to Tea Party loyalists https://t.co/9aKuuuD1wE"""
3980,Wed Jan 20 11:14:50 +0000 2016,3503,689768040892792832,,False,987,Twitter for Android,"""@ron_fournier: President Donald Trump (just getting used to it)"" Wow, very nice!"
